100;[2, 4, 3, 5, 6, 7, 1, 9, 8]

(0, 2);(2, 3);(3, 9);(9, 17);(17, 20);(20, 24);(24, 30);(30, 34);(34, 36)
(2, 5);(5, 8);(9, 17);(17, 21);(21, 27);(27, 34);(34, 38);(38, 46);(46, 49)
(5, 10);(10, 19);(19, 21);(21, 27);(27, 34);(34, 39);(39, 41);(46, 47);(49, 56)
(10, 19);(19, 22);(22, 25);(27, 33);(34, 38);(39, 40);(41, 43);(47, 51);(56, 62)
(19, 22);(22, 29);(29, 37);(37, 38);(38, 41);(41, 45);(45, 50);(51, 60);(62, 70)

"2";"2";"4";"3";"3";"3";"3";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"7";"7";"7";"7";"1";"1";"1";"1";"1";"1";"9";"9";"9";"9";"8";"8"
" ";" ";"2";"2";"2";"4";"4";"4";" ";"3";"3";"3";"3";"3";"3";"3";"3";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"1";"1";"1";"1";"9";"9";"9";"9";"9";"9";"9";"9";"8";"8";"8"
" ";" ";" ";" ";" ";"2";"2";"2";"2";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"1";"1";" ";" ";" ";" ";" ";"9";" ";" ";"8";"8";"8";"8";"8";"8";"8"
" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2";"2";"2";"2";"2";"2";"2";"2";"2";"4";"4";"4";"3";"3";"3";" ";" ";"5";"5";"5";"5";"5";"5";" ";"6";"6";"6";"6";" ";"7";" ";"1";"1";" ";" ";" ";" ";"9";"9";"9";"9";" ";" ";" ";" ";" ";"8";"8";"8";"8";"8";"8"
" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2";"2";"2";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"5";"6";"6";"6";"7";"7";"7";"7";"1";"1";"1";"1";"1";" ";"9";"9";"9";"9";"9";"9";"9";"9";"9";" ";" ";"8";"8";"8";"8";"8";"8";"8";"8"
